Document,deceased,death,grief,bereave,impersonat,likeness,consent,third party,delete,biometric,gdpr,online safety act,artificial intelligence act,memorial,estate,next of kin
character-ai-privacy,0,0,0,0,0,0,3,2,5,0,0,0,0,0,0,0
character-ai-tos,0,1,0,0,2,0,3,4,1,0,0,0,0,0,0,0
getseance-privacy-policy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
getseance-terms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guardianaingels-ai-privacy,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0
guardianaingels-ai-terms,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
replika-legal-privacy-en,0,0,0,0,0,0,9,0,8,0,6,0,0,0,0,0
replika-legal-terms-en,1,1,0,0,2,0,7,8,2,0,0,0,0,0,0,0
storyfile-legal-privacy-policy,0,0,0,0,0,1,3,0,4,0,3,0,0,0,0,0
storyfile-legal-terms-of-service,0,0,0,0,2,1,7,6,2,0,0,0,0,0,0,0
